"","date","shanghai_temp","nantong_temp"
"1",2005-01-01,3.39998769760132,-5.51999521255493
"2",2005-01-02,7.00002431869507,-0.629980444908142
"3",2005-01-03,10.9200077056885,2.25002431869507
"4",2005-01-04,7.55001211166382,0.430017083883286
"5",2005-01-05,7.64998769760132,3.00002431869507
"6",2005-01-06,8.20000648498535,3.21999502182007
"7",2005-01-07,7.64998769760132,1.50002443790436
"8",2005-01-08,6.02999258041382,0.629998803138733
"9",2005-01-09,5.05001211166382,-0.499975591897964
"10",2005-01-10,5.30001211166382,1.57000124454498
"11",2005-01-11,6.09999990463257,1.05001223087311
"12",2005-01-12,5.48000478744507,0.600000023841858
"13",2005-01-13,5.37999868392944,1.55001223087311
"14",2005-01-14,5.59999990463257,2.80001211166382
"15",2005-01-15,4.73000478744507,0.349999994039536
"16",2005-01-16,3.75002431869507,0.829980492591858
"17",2005-01-17,4.96999502182007,2.77999258041382
"18",2005-01-18,7.64998769760132,2.96999502182007
"19",2005-01-19,5.84999990463257,1.57000124454498
"20",2005-01-20,5.30001211166382,1.87001955509186
"21",2005-01-21,5.39998769760132,1.14998781681061
"22",2005-01-22,7.55001211166382,2.23000478744507
"23",2005-01-23,5.39998769760132,2.48000478744507
"24",2005-01-24,9.07000160217285,4.52999258041382
"25",2005-01-25,7.50002431869507,0.769982933998108
"26",2005-01-26,5.20000600814819,0.279992669820786
"27",2005-01-27,7.32000112533569,2.75002431869507
"28",2005-01-28,8.37001991271973,4.71999502182007
"29",2005-01-29,6.75002431869507,1.70000612735748
"30",2005-01-30,3.77999258041382,-0.199987798929214
"31",2005-01-31,3.98000478744507,0.700006127357483
"32",2005-02-01,3.52999258041382,-1.94998776912689
"33",2005-02-02,3.64998769760132,-0.649999976158142
"34",2005-02-03,6.14998769760132,1.95000612735748
"35",2005-02-04,9.10000038146973,4.34999990463257
"36",2005-02-05,8.80001258850098,2.92000722885132
"37",2005-02-06,9.45000648498535,2.67000722885132
"38",2005-02-07,6.73000478744507,1.14998781681061
"39",2005-02-08,5.80001211166382,1.07000124454498
"40",2005-02-09,6.48000478744507,0.200006097555161
"41",2005-02-10,3.00002431869507,-1.67999875545502
"42",2005-02-11,4.45000600814819,-0.600012183189392
"43",2005-02-12,5.20000600814819,0.670007348060608
"44",2005-02-13,6.73000478744507,2.96999502182007
"45",2005-02-14,12.5000247955322,6.37999868392944
"46",2005-02-15,12.6499881744385,5.77999258041382
"47",2005-02-16,5.57000112533569,1.02999269962311
"48",2005-02-17,6.87999868392944,2.14998769760132
"49",2005-02-18,5.23000478744507,-0.499975591897964
"50",2005-02-19,2.02999258041382,-3.76999521255493
"51",2005-02-20,1.05001223087311,-2.97000741958618
"52",2005-02-21,3.25002431869507,0.129998773336411
"53",2005-02-22,9.82000160217285,6.37001943588257
"54",2005-02-23,11.550012588501,6.20000600814819
"55",2005-02-24,8.30001258850098,4.77999258041382
"56",2005-02-25,5.77999258041382,1.14998781681061
"57",2005-02-26,3.20000600814819,2.44140628637979e-05
"58",2005-02-27,4.46999502182007,0.550012230873108
"59",2005-02-28,5.14998769760132,2.57000112533569
"60",2005-03-01,7.30001211166382,5.20000600814819
"61",2005-03-02,8.25002479553223,3.34999990463257
"62",2005-03-03,4.32000112533569,2.84999990463257
"63",2005-03-04,5.20000600814819,0.820001244544983
"64",2005-03-05,3.70000600814819,2.75002431869507
"65",2005-03-06,6.17000722885132,4.59999990463257
"66",2005-03-07,10.6000003814697,11.7000064849854
"67",2005-03-08,13.4200077056885,12.4500064849854
"68",2005-03-09,14.3200016021729,13.9200077056885
"69",2005-03-10,15.1499881744385,12.050012588501
"70",2005-03-11,4.12999868392944,-0.420019537210464
"71",2005-03-12,1.85000002384186,-0.579992651939392
"72",2005-03-13,3.42000722885132,2.00002431869507
"73",2005-03-14,7.12999868392944,5.14998769760132
"74",2005-03-15,11.3200016021729,7.75002431869507
"75",2005-03-16,14.5799808502197,9.52999305725098
"76",2005-03-17,10.550012588501,9.12001991271973
"77",2005-03-18,6.87001943588257,4.89998769760132
"78",2005-03-19,8.10000038146973,6.71999502182007
"79",2005-03-20,8.95000648498535,7.57000112533569
"80",2005-03-21,12.9500064849854,8.87001991271973
"81",2005-03-22,8.64998817443848,6.59999990463257
"82",2005-03-23,9.27999305725098,9.73000526428223
"83",2005-03-24,6.52999258041382,4.27999258041382
"84",2005-03-25,7.21999502182007,7.02999258041382
"85",2005-03-26,12.0700016021729,10.3200016021729
"86",2005-03-27,11.8799991607666,10.800012588501
"87",2005-03-28,10.3700199127197,10.2000064849854
"88",2005-03-29,7.73000478744507,6.77999258041382
"89",2005-03-30,8.57000160217285,8.27999305725098
"90",2005-03-31,10.779993057251,9.85000038146973
"91",2005-04-01,12.9500064849854,12.050012588501
"92",2005-04-02,12.7199954986572,13.550012588501
"93",2005-04-03,10.029993057251,9.77999305725098
"94",2005-04-04,11.3200016021729,12.3200016021729
"95",2005-04-05,14.8500003814697,18.529993057251
"96",2005-04-06,15.9500064849854,18.6499881744385
"97",2005-04-07,18.3500003814697,20.800012588501
"98",2005-04-08,18.0000247955322,17.1499881744385
"99",2005-04-09,17.5000247955322,12.4500064849854
"100",2005-04-10,9.10000038146973,9.89998817443848
"101",2005-04-11,9.30001258850098,10.1800174713135
"102",2005-04-12,10.7500247955322,12.9500064849854
"103",2005-04-13,12.1499881744385,11.1000003814697
"104",2005-04-14,13.9500064849854,14.9200077056885
"105",2005-04-15,14.2000064849854,12.4500064849854
"106",2005-04-16,14.9200077056885,15.4699954986572
